mode,round,n_runs,run0,run1,run2,run3,run4,mean,sample_sd,mean_minus_sd,mean_plus_sd
veto,15,5,1.5807680000000002,1.586552,1.7029999999999998,1.582,1.7205,1.634564,0.07076478299267218,1.5637992170073278,1.705328782992672
veto,16,5,1.57735,1.585384,1.698,1.5710000000000002,1.7205,1.6304468,0.07255491334982071,1.5578918866501794,1.7030017133498208
veto,17,5,1.57695,1.5851,1.691,1.56,1.72,1.6266100000000001,0.07330390849061186,1.5533060915093881,1.699913908490612
veto,18,5,1.5772,1.5842,1.683,1.554,1.72,1.62368,0.0730937206605328,1.5505862793394671,1.696773720660533
veto,19,5,1.5767499999999999,1.5836000000000001,1.678,1.55,1.72,1.62167,0.07322154396077699,1.5484484560392229,1.694891543960777
veto,20,5,1.57655,1.583,1.675,1.542,1.72,1.61931,0.07477219068611005,1.54453780931389,1.69408219068611
veto,21,5,1.5773,1.582,1.671,1.532,1.72,1.61646,0.07672944675937654,1.5397305532406236,1.6931894467593764
veto,22,5,1.57678,1.5810000000000002,1.667,1.527,1.72,1.6143560000000001,0.0776010546320087,1.5367549453679914,1.6919570546320088
veto,23,5,1.57613,1.58,1.664,1.518,1.72,1.611626,0.07986544546923903,1.5317605545307609,1.6914914454692391
veto,24,5,1.57588,1.579,1.66,1.51,1.72,1.608976,0.08173116223326325,1.5272448377667367,1.6907071622332632
veto,25,5,1.57598,1.5778,1.652,1.5030000000000001,1.72,1.605756,0.08279061347761586,1.522965386522384,1.688546613477616
veto,26,5,1.57558,1.5758,1.646,1.499,1.72,1.603276,0.08343457844323293,1.519841421556767,1.6867105784432328
veto,27,5,1.57552,1.573,1.639,1.493,1.72,1.600104,0.08470273950705487,1.5154012604929452,1.6848067395070547
veto,28,5,1.57559,1.5694000000000001,1.634,1.491,1.72,1.597998,0.08507227527226476,1.5129257247277352,1.6830702752722648
veto,29,5,1.57548,1.5653000000000001,1.623,1.49,1.72,1.594756,0.0847006828780028,1.5100553171219973,1.6794566828780029
veto,30,5,1.5755299999999999,1.5616,1.617,1.49,1.72,1.592826,0.08456507778036983,1.5082609222196302,1.67739107778037
veto,31,5,1.57548,1.55888,1.608,1.49,1.72,1.590472,0.08426471812093125,1.5062072818790688,1.6747367181209314
veto,32,5,1.57562,1.55716,1.596,1.49,1.72,1.587756,0.08395843066661023,1.5037975693333898,1.67171443066661
veto,33,5,1.57551,1.55644,1.582,1.49,1.72,1.58479,0.08391143128322862,1.5008785687167714,1.6687014312832285
veto,34,5,1.57557,1.55642,1.575,1.49,1.72,1.5833979999999999,0.08402813409805075,1.4993698659019492,1.6674261340980505
veto,35,5,1.57549,1.5564,1.567,1.49,1.72,1.581778,0.08430672227052834,1.4974712777294716,1.6660847222705282
veto,36,5,1.57558,1.5564,1.563,1.49,1.72,1.580996,0.08449931408005629,1.4964966859199438,1.6654953140800564
